"team","pick","odds","abbr"
"SAC",4,1.5,"SAC"
"SAC",5,0,"SAC"
"SAC",6,0,"SAC"
"SAC",7,0,"SAC"
"SAC",8,0,"SAC"
"SAC",9,0,"SAC"
"SAC",10,0,"SAC"
"SAC",11,0,"SAC"
"SAC",12,0,"SAC"
"SAC",13,92.88,"SAC"
"SAC",14,3.28,"SAC"
"SAS via ATL",1,0.07,"SAS"
"SAS via ATL",2,0.78,"SAS"
"SAS via ATL",3,0.88,"SAS"
"SAS via ATL",4,1.01,"SAS"
"SAS via ATL",5,0,"SAS"
"SAS via ATL",6,0,"SAS"
"SAS via ATL",7,0,"SAS"
"SAS via ATL",8,0,"SAS"
"SAS via ATL",9,0,"SAS"
"SAS via ATL",10,0,"SAS"
"SAS via ATL",11,0,"SAS"
"SAS via ATL",12,0,"SAS"
"SAS via ATL",13,0,"SAS"
"SAS via ATL",14,96.63,"SAS"
