"source","player","mock","actual"
"CBS","Jaden Springer",18,28
"CBS","Jared Butler",19,40
"CBS","Cameron Thomas",20,27
"CBS","Usman Garuba",21,23
"CBS","Chris Duarte",22,13
"CBS","Ziaire Williams",23,10
"CBS","Kai Jones",24,19
"CBS","Bones Hyland",25,26
"CBS","Ayo Dosunmu",26,38
"CBS","Quentin Grimes",27,25
"CBS","Charles Bassey",28,53
"CBS","Tre Mann",29,18
"CBS","Joe Wieskamp",30,41
"CBS","Miles McBride",31,36
"CBS","Joshua Primo",32,12
"CBS","Sharife Cooper",33,48
"CBS","JT Thor",34,37
"CBS","Kessler Edwards",35,44
"CBS","BJ Boston",36,51
"CBS","Herbert Jones",37,35
"CBS","Matthew Hurt",38,NA
"CBS","Day'Ron Sharpe",39,29
"CBS","Jeremiah Robinson-Earl",40,32
"CBS","Josh Christopher",41,24
"CBS","Greg Brown",42,43
"CBS","Neemias Queta",43,39
"CBS","Joel Ayayi",44,NA
"CBS","Daishen Nix",45,NA
"CBS","Aaron Henry",46,NA
"CBS","Isaiah Todd",47,31
"CBS","Marcus Garrett",48,NA
"CBS","RaiQuan Gray",49,59
"CBS","Austin Reaves",50,NA
"CBS","Jason Preston",51,33
"CBS","Jericho Sims",52,58
"CBS","Filip Petrusev",53,50
"CBS","Rokas Jokubaitis",54,34
"CBS","Isaiah Livers",55,42
"CBS","Juhann Begarin",56,45
"CBS","Aaron Wiggins",57,55
"CBS","Sam Hauser",58,NA
"CBS","David Johnson",59,47
"CBS","Scottie Lewis",60,56
"Chad Ford","Cade Cunningham",1,1
"Chad Ford","Jalen Green",2,2
"Chad Ford","Evan Mobley",3,3
"Chad Ford","Jalen Suggs",4,5
"Chad Ford","Scottie Barnes",5,4
"Chad Ford","Jonathan Kuminga",6,7
"Chad Ford","James Bouknight",7,11
"Chad Ford","Moses Moody",8,14
"Chad Ford","Franz Wagner",9,8
"Chad Ford","Josh Giddey",10,6
"Chad Ford","Corey Kispert",11,15
"Chad Ford","Alperen Sengun",12,16
"Chad Ford","Chris Duarte",13,13
"Chad Ford","Davion Mitchell",14,9
"Chad Ford","Trey Murphy",15,17
"Chad Ford","Ziaire Williams",16,10
"Chad Ford","Cameron Thomas",17,27
"Chad Ford","Isaiah Jackson",18,22
"Chad Ford","Usman Garuba",19,23
"Chad Ford","Keon Johnson",20,21
"Chad Ford","Jaden Springer",21,28
"Chad Ford","Kai Jones",22,19
"Chad Ford","Sharife Cooper",23,48
"Chad Ford","Isaiah Todd",24,31
"Chad Ford","Josh Christopher",25,24
"Chad Ford","Joshua Primo",26,12
"Chad Ford","Day'Ron Sharpe",27,29
"Chad Ford","Jared Butler",28,40
"Chad Ford","Miles McBride",29,36
"Chad Ford","Ayo Dosunmu",30,38
"Chad Ford","Quentin Grimes",31,25
"Chad Ford","Jalen Johnson",32,20
"Chad Ford","JT Thor",33,37
"Chad Ford","BJ Boston",34,51
"Chad Ford","Tre Mann",35,18
"Chad Ford","Vrenz Blijenbergh",36,NA
"Chad Ford","Greg Brown",37,43
"Chad Ford","Bones Hyland",38,26
"Chad Ford","Herbert Jones",39,35
"Chad Ford","Rokas Jokubaitis",40,34
"Chad Ford","Neemias Queta",41,39
"Chad Ford","Jason Preston",42,33
"Chad Ford","Joe Wieskamp",43,41
"Chad Ford","Jeremiah Robinson-Earl",44,32
"Chad Ford","Aaron Henry",45,NA
"Chad Ford","RaiQuan Gray",46,59
"Chad Ford","Charles Bassey",47,53
"Chad Ford","Juhann Begarin",48,45
"Chad Ford","Sandro Mamukelashvili",49,54
"Chad Ford","Filip Petrusev",50,50
"Chad Ford","Amar Sylla",51,NA
"Chad Ford","Jericho Sims",52,58
"Chad Ford","Santi Aldama",53,30
"Chad Ford","Luka Garza",54,52
"Chad Ford","David Johnson",55,47
"Chad Ford","Isaiah Livers",56,42
"Chad Ford","Joel Ayayi",57,NA
"Chad Ford","Justin Champagnie",58,NA
"Chad Ford","Daishen Nix",59,NA
"Chad Ford","Chris Smith",60,NA
"Complex","Cade Cunningham",1,1
"Complex","Jalen Green",2,2
"Complex","Evan Mobley",3,3
"Complex","Jalen Suggs",4,5
"Complex","Scottie Barnes",5,4
"Complex","James Bouknight",6,11
"Complex","Moses Moody",7,14
"Complex","Jonathan Kuminga",8,7
"Complex","Franz Wagner",9,8
"Complex","Josh Giddey",10,6
"Complex","Jalen Johnson",11,20
"Complex","Alperen Sengun",12,16
"Complex","Davion Mitchell",13,9
"Complex","Chris Duarte",14,13
"Complex","Tre Mann",15,18
"Complex","Isaiah Jackson",16,22
"Complex","Corey Kispert",17,15
"Complex","Kai Jones",18,19
"Complex","Jared Butler",19,40
"Complex","Sharife Cooper",20,48
"Complex","Trey Murphy",21,17
"Complex","Ayo Dosunmu",22,38
"Complex","Ziaire Williams",23,10
"Complex","Usman Garuba",24,23
"Complex","Cameron Thomas",25,27
"Complex","Jaden Springer",26,28
"Complex","Day'Ron Sharpe",27,29
"Complex","Joshua Primo",28,12
"Complex","Miles McBride",29,36
"Complex","Jason Preston",30,33
"Complex","",31,NA
"Complex","",32,NA
"Complex","",33,NA
"Complex","",34,NA
"Complex","",35,NA
"Complex","",36,NA
"Complex","",37,NA
"Complex","",38,NA
"Complex","",39,NA
"Complex","",40,NA
"Complex","",41,NA
"Complex","",42,NA
"Complex","",43,NA
"Complex","",44,NA
"Complex","",45,NA
"Complex","",46,NA
"Complex","",47,NA
"Complex","",48,NA
"Complex","",49,NA
"Complex","",50,NA
"Complex","",51,NA
"Complex","",52,NA
"Complex","",53,NA
"Complex","",54,NA
"Complex","",55,NA
"Complex","",56,NA
"Complex","",57,NA
"Complex","",58,NA
"Complex","",59,NA
"Complex","",60,NA
"ESPN","Cade Cunningham",1,1
"ESPN","Jalen Green",2,2
"ESPN","Evan Mobley",3,3
"ESPN","Jalen Suggs",4,5
"ESPN","Scottie Barnes",5,4
"ESPN","Jonathan Kuminga",6,7
"ESPN","James Bouknight",7,11
"ESPN","Moses Moody",8,14
"ESPN","Franz Wagner",9,8
"ESPN","Josh Giddey",10,6
"ESPN","Corey Kispert",11,15
"ESPN","Alperen Sengun",12,16
"ESPN","Chris Duarte",13,13
"ESPN","Davion Mitchell",14,9
"ESPN","Trey Murphy",15,17
"ESPN","Keon Johnson",16,21
"ESPN","Ziaire Williams",17,10
"ESPN","Jalen Johnson",18,20
"ESPN","Kai Jones",19,19
"ESPN","Cameron Thomas",20,27
"ESPN","Bones Hyland",21,26
"ESPN","Usman Garuba",22,23
"ESPN","Sharife Cooper",23,48
"ESPN","Isaiah Jackson",24,22
"ESPN","Jared Butler",25,40
"ESPN","Quentin Grimes",26,25
"ESPN","Day'Ron Sharpe",27,29
"ESPN","Joshua Primo",28,12
"ESPN","Tre Mann",29,18
"ESPN","Miles McBride",30,36
"ESPN","Jaden Springer",31,28
"ESPN","Ayo Dosunmu",32,38
"ESPN","JT Thor",33,37
"ESPN","Josh Christopher",34,24
"ESPN","Isaiah Todd",35,31
"ESPN","Joel Ayayi",36,NA
"ESPN","BJ Boston",37,51
"ESPN","Kessler Edwards",38,44
"ESPN","Charles Bassey",39,53
"ESPN","Juhann Begarin",40,45
"ESPN","David Johnson",41,47
"ESPN","Filip Petrusev",42,50
"ESPN","Jason Preston",43,33
"ESPN","Rokas Jokubaitis",44,34
"ESPN","Austin Reaves",45,NA
"ESPN","Herbert Jones",46,35
"ESPN","Aaron Wiggins",47,55
"ESPN","Jericho Sims",48,58
"ESPN","Joe Wieskamp",49,41
"ESPN","Aaron Henry",50,NA
"ESPN","Isaiah Livers",51,42
"ESPN","Daishen Nix",52,NA
"ESPN","Greg Brown",53,43
"ESPN","Luka Garza",54,52
"ESPN","Santi Aldama",55,30
"ESPN","Vrenz Blijenbergh",56,NA
"ESPN","McKinley Wright",57,NA
"ESPN","Jeremiah Robinson-Earl",58,32
"ESPN","Sandro Mamukelashvili",59,54
"ESPN","Neemias Queta",60,39
"Fox Sports","Cade Cunningham",1,1
"Fox Sports","Jalen Green",2,2
"Fox Sports","Evan Mobley",3,3
"Fox Sports","Jalen Suggs",4,5
"Fox Sports","Scottie Barnes",5,4
"Fox Sports","James Bouknight",6,11
"Fox Sports","Jonathan Kuminga",7,7
"Fox Sports","Moses Moody",8,14
"Fox Sports","Franz Wagner",9,8
"Fox Sports","Josh Giddey",10,6
"Fox Sports","Kai Jones",11,19
"Fox Sports","Corey Kispert",12,15
"Fox Sports","Davion Mitchell",13,9
"Fox Sports","Chris Duarte",14,13
"Fox Sports","Cameron Thomas",15,27
"Fox Sports","Alperen Sengun",16,16
"Fox Sports","Sharife Cooper",17,48
"Fox Sports","Usman Garuba",18,23
"Fox Sports","Jalen Johnson",19,20
"Fox Sports","Keon Johnson",20,21
"Fox Sports","Isaiah Jackson",21,22
"Fox Sports","Jared Butler",22,40
"Fox Sports","Ziaire Williams",23,10
"Fox Sports","Trey Murphy",24,17
"Fox Sports","Bones Hyland",25,26
"Fox Sports","Jeremiah Robinson-Earl",26,32
"Fox Sports","Ayo Dosunmu",27,38
"Fox Sports","Tre Mann",28,18
"Fox Sports","Jaden Springer",29,28
"Fox Sports","Miles McBride",30,36
"Fox Sports","",31,NA
"Fox Sports","",32,NA
"Fox Sports","",33,NA
"Fox Sports","",34,NA
"Fox Sports","",35,NA
"Fox Sports","",36,NA
"Fox Sports","",37,NA
"Fox Sports","",38,NA
"Fox Sports","",39,NA
"Fox Sports","",40,NA
"Fox Sports","",41,NA
"Fox Sports","",42,NA
"Fox Sports","",43,NA
"Fox Sports","",44,NA
"Fox Sports","",45,NA
"Fox Sports","",46,NA
"Fox Sports","",47,NA
"Fox Sports","",48,NA
"Fox Sports","",49,NA
"Fox Sports","",50,NA
"Fox Sports","",51,NA
"Fox Sports","",52,NA
"Fox Sports","",53,NA
"Fox Sports","",54,NA
"Fox Sports","",55,NA
"Fox Sports","",56,NA
"Fox Sports","",57,NA
"Fox Sports","",58,NA
"Fox Sports","",59,NA
"Fox Sports","",60,NA
"LA Times","Cade Cunningham",1,1
"LA Times","Jalen Green",2,2
"LA Times","Evan Mobley",3,3
"LA Times","Jalen Suggs",4,5
"LA Times","Scottie Barnes",5,4
"LA Times","James Bouknight",6,11
"LA Times","Jonathan Kuminga",7,7
"LA Times","Franz Wagner",8,8
"LA Times","Moses Moody",9,14
"LA Times","Josh Giddey",10,6
"LA Times","Jalen Johnson",11,20
"LA Times","Kai Jones",12,19
"LA Times","Davion Mitchell",13,9
"LA Times","Chris Duarte",14,13
"LA Times","Trey Murphy",15,17
"LA Times","Corey Kispert",16,15
"LA Times","Keon Johnson",17,21
"LA Times","Ziaire Williams",18,10
"LA Times","Miles McBride",19,36
"LA Times","Alperen Sengun",20,16
"LA Times","Isaiah Jackson",21,22
"LA Times","Ayo Dosunmu",22,38
"LA Times","Jared Butler",23,40
"LA Times","Bones Hyland",24,26
"LA Times","Joshua Primo",25,12
"LA Times","Josh Christopher",26,24
"LA Times","Tre Mann",27,18
"LA Times","Quentin Grimes",28,25
"LA Times","Joel Ayayi",29,NA
"LA Times","Jaden Springer",30,28
"LA Times","",31,NA
"LA Times","",32,NA
"LA Times","",33,NA
"LA Times","",34,NA
"LA Times","",35,NA
"LA Times","",36,NA
"LA Times","",37,NA
"LA Times","",38,NA
"LA Times","",39,NA
"LA Times","",40,NA
"LA Times","",41,NA
"LA Times","",42,NA
"LA Times","",43,NA
"LA Times","",44,NA
"LA Times","",45,NA
"LA Times","",46,NA
"LA Times","",47,NA
"LA Times","",48,NA
"LA Times","",49,NA
"LA Times","",50,NA
"LA Times","",51,NA
"LA Times","",52,NA
"LA Times","",53,NA
"LA Times","",54,NA
"LA Times","",55,NA
"LA Times","",56,NA
"LA Times","",57,NA
"LA Times","",58,NA
"LA Times","",59,NA
"LA Times","",60,NA
"mynbadraft.com","Cade Cunningham",1,1
"mynbadraft.com","Jalen Green",2,2
"mynbadraft.com","Evan Mobley",3,3
"mynbadraft.com","Jalen Suggs",4,5
"mynbadraft.com","Scottie Barnes",5,4
"mynbadraft.com","James Bouknight",6,11
"mynbadraft.com","Franz Wagner",7,8
"mynbadraft.com","Moses Moody",8,14
"mynbadraft.com","Alperen Sengun",9,16
"mynbadraft.com","Josh Giddey",10,6
"mynbadraft.com","Jonathan Kuminga",11,7
"mynbadraft.com","Corey Kispert",12,15
"mynbadraft.com","Davion Mitchell",13,9
"mynbadraft.com","Trey Murphy",14,17
"mynbadraft.com","Chris Duarte",15,13
"mynbadraft.com","Ziaire Williams",16,10
"mynbadraft.com","Jalen Johnson",17,20
"mynbadraft.com","Kai Jones",18,19
"mynbadraft.com","Keon Johnson",19,21
"mynbadraft.com","Jaden Springer",20,28
"mynbadraft.com","Isaiah Jackson",21,22
"mynbadraft.com","Cameron Thomas",22,27
"mynbadraft.com","Usman Garuba",23,23
"mynbadraft.com","Sharife Cooper",24,48
"mynbadraft.com","Bones Hyland",25,26
"mynbadraft.com","Ayo Dosunmu",26,38
"mynbadraft.com","Jared Butler",27,40
"mynbadraft.com","Quentin Grimes",28,25
"mynbadraft.com","Tre Mann",29,18
"mynbadraft.com","Joshua Primo",30,12
"mynbadraft.com","Miles McBride",31,36
"mynbadraft.com","Joel Ayayi",32,NA
"mynbadraft.com","Day'Ron Sharpe",33,29
"mynbadraft.com","BJ Boston",34,51
"mynbadraft.com","Josh Christopher",35,24
"mynbadraft.com","Rokas Jokubaitis",36,34
"mynbadraft.com","Juhann Begarin",37,45
"mynbadraft.com","JT Thor",38,37
"mynbadraft.com","Greg Brown",39,43
"mynbadraft.com","Charles Bassey",40,53
"mynbadraft.com","Neemias Queta",41,39
"mynbadraft.com","Filip Petrusev",42,50
"mynbadraft.com","Jeremiah Robinson-Earl",43,32
"mynbadraft.com","Joe Wieskamp",44,41
"mynbadraft.com","Daishen Nix",45,NA
"mynbadraft.com","Austin Reaves",46,NA
"mynbadraft.com","Herbert Jones",47,35
"mynbadraft.com","Aaron Henry",48,NA
"mynbadraft.com","Isaiah Todd",49,31
"mynbadraft.com","Vrenz Blijenbergh",50,NA
"mynbadraft.com","Jason Preston",51,33
"mynbadraft.com","Isaiah Livers",52,42
"mynbadraft.com","Luka Garza",53,52
"mynbadraft.com","Matthew Hurt",54,NA
"mynbadraft.com","Kessler Edwards",55,44
"mynbadraft.com","Aaron Wiggins",56,55
"mynbadraft.com","David Johnson",57,47
"mynbadraft.com","McKinley Wright",58,NA
"mynbadraft.com","RaiQuan Gray",59,59
"mynbadraft.com","Jericho Sims",60,58
"NBA Draft Room","Cade Cunningham",1,1
"NBA Draft Room","Jalen Green",2,2
"NBA Draft Room","Evan Mobley",3,3
"NBA Draft Room","Jalen Suggs",4,5
"NBA Draft Room","Scottie Barnes",5,4
"NBA Draft Room","James Bouknight",6,11
"NBA Draft Room","Franz Wagner",7,8
"NBA Draft Room","Jonathan Kuminga",8,7
"NBA Draft Room","Alperen Sengun",9,16
"NBA Draft Room","Josh Giddey",10,6
"NBA Draft Room","Moses Moody",11,14
"NBA Draft Room","Usman Garuba",12,23
"NBA Draft Room","Davion Mitchell",13,9
"NBA Draft Room","Chris Duarte",14,13
"NBA Draft Room","Ziaire Williams",15,10
"NBA Draft Room","Kai Jones",16,19
"NBA Draft Room","Corey Kispert",17,15
"NBA Draft Room","Keon Johnson",18,21
"NBA Draft Room","Jalen Johnson",19,20
"NBA Draft Room","Trey Murphy",20,17
"NBA Draft Room","Miles McBride",21,36
"NBA Draft Room","Jared Butler",22,40
"NBA Draft Room","Isaiah Jackson",23,22
"NBA Draft Room","Bones Hyland",24,26
"NBA Draft Room","Tre Mann",25,18
"NBA Draft Room","Cameron Thomas",26,27
"NBA Draft Room","Day'Ron Sharpe",27,29
"NBA Draft Room","Jaden Springer",28,28
"NBA Draft Room","Sharife Cooper",29,48
"NBA Draft Room","Joshua Primo",30,12
"NBA Draft Room","Quentin Grimes",31,25
"NBA Draft Room","Ayo Dosunmu",32,38
"NBA Draft Room","Isaiah Todd",33,31
"NBA Draft Room","JT Thor",34,37
"NBA Draft Room","Jeremiah Robinson-Earl",35,32
"NBA Draft Room","Joe Wieskamp",36,41
"NBA Draft Room","Herbert Jones",37,35
"NBA Draft Room","Josh Christopher",38,24
"NBA Draft Room","Vrenz Blijenbergh",39,NA
"NBA Draft Room","Aaron Henry",40,NA
"NBA Draft Room","BJ Boston",41,51
"NBA Draft Room","Charles Bassey",42,53
"NBA Draft Room","Joel Ayayi",43,NA
"NBA Draft Room","Filip Petrusev",44,50
"NBA Draft Room","Rokas Jokubaitis",45,34
"NBA Draft Room","Neemias Queta",46,39
"NBA Draft Room","Amar Sylla",47,NA
"NBA Draft Room","Kessler Edwards",48,44
"NBA Draft Room","Duane Washington",49,NA
"NBA Draft Room","EJ Onu",50,NA
"NBA Draft Room","Feron Hunt",51,NA
"NBA Draft Room","Jason Preston",52,33
"NBA Draft Room","Austin Reaves",53,NA
"NBA Draft Room","Chris Smith",54,NA
"NBA Draft Room","Sandro Mamukelashvili",55,54
"NBA Draft Room","Greg Brown",56,43
"NBA Draft Room","RaiQuan Gray",57,59
"NBA Draft Room","Dalano Banton",58,46
"NBA Draft Room","Luka Garza",59,52
"NBA Draft Room","Jericho Sims",60,58
"nbadraft.net","Cade Cunningham",1,1
"nbadraft.net","Jalen Green",2,2
"nbadraft.net","Evan Mobley",3,3
"nbadraft.net","Jalen Suggs",4,5
"nbadraft.net","Scottie Barnes",5,4
"nbadraft.net","James Bouknight",6,11
"nbadraft.net","Jonathan Kuminga",7,7
"nbadraft.net","Moses Moody",8,14
"nbadraft.net","Franz Wagner",9,8
"nbadraft.net","Josh Giddey",10,6
"nbadraft.net","Kai Jones",11,19
