"source","player","mock","actual"
"NBC Sports","Sandro Mamukelashvili",59,54
"NBC Sports","Trendon Watford",60,NA
"Net Scouts","Cade Cunningham",1,1
"Net Scouts","Jalen Green",2,2
"Net Scouts","Evan Mobley",3,3
"Net Scouts","Jalen Suggs",4,5
"Net Scouts","Scottie Barnes",5,4
"Net Scouts","Jonathan Kuminga",6,7
"Net Scouts","James Bouknight",7,11
"Net Scouts","Alperen Sengun",8,16
"Net Scouts","Franz Wagner",9,8
"Net Scouts","Josh Giddey",10,6
"Net Scouts","Kai Jones",11,19
"Net Scouts","Keon Johnson",12,21
"Net Scouts","Davion Mitchell",13,9
"Net Scouts","Chris Duarte",14,13
"Net Scouts","Moses Moody",15,14
"Net Scouts","Usman Garuba",16,23
"Net Scouts","Corey Kispert",17,15
"Net Scouts","Isaiah Jackson",18,22
"Net Scouts","Cameron Thomas",19,27
"Net Scouts","Trey Murphy",20,17
"Net Scouts","Jalen Johnson",21,20
"Net Scouts","Ayo Dosunmu",22,38
"Net Scouts","Ziaire Williams",23,10
"Net Scouts","Miles McBride",24,36
"Net Scouts","Sharife Cooper",25,48
"Net Scouts","Tre Mann",26,18
"Net Scouts","Day'Ron Sharpe",27,29
"Net Scouts","Jaden Springer",28,28
"Net Scouts","Jared Butler",29,40
"Net Scouts","Greg Brown",30,43
"Net Scouts","Bones Hyland",31,26
"Net Scouts","Josh Christopher",32,24
"Net Scouts","Joshua Primo",33,12
"Net Scouts","Herbert Jones",34,35
"Net Scouts","Filip Petrusev",35,50
"Net Scouts","Isaiah Todd",36,31
"Net Scouts","Quentin Grimes",37,25
"Net Scouts","Daishen Nix",38,NA
"Net Scouts","Jeremiah Robinson-Earl",39,32
"Net Scouts","Rokas Jokubaitis",40,34
"Net Scouts","Charles Bassey",41,53
"Net Scouts","BJ Boston",42,51
"Net Scouts","David Duke",43,NA
"Net Scouts","Joel Ayayi",44,NA
"Net Scouts","David Johnson",45,47
"Net Scouts","Vrenz Blijenbergh",46,NA
"Net Scouts","Jason Preston",47,33
"Net Scouts","JT Thor",48,37
"Net Scouts","Neemias Queta",49,39
"Net Scouts","Kessler Edwards",50,44
"Net Scouts","Matthew Hurt",51,NA
"Net Scouts","Aaron Henry",52,NA
"Net Scouts","Luka Garza",53,52
"Net Scouts","Austin Reaves",54,NA
"Net Scouts","Joe Wieskamp",55,41
"Net Scouts","AJ Lawson",56,NA
"Net Scouts","Jericho Sims",57,58
"Net Scouts","Sandro Mamukelashvili",58,54
"Net Scouts","EJ Onu",59,NA
"Net Scouts","Juhann Begarin",60,45
"NY Post","Cade Cunningham",1,1
"NY Post","Jalen Green",2,2
"NY Post","Evan Mobley",3,3
"NY Post","Jalen Suggs",4,5
"NY Post","Scottie Barnes",5,4
"NY Post","Jonathan Kuminga",6,7
"NY Post","Davion Mitchell",7,9
"NY Post","Corey Kispert",8,15
"NY Post","Keon Johnson",9,21
"NY Post","James Bouknight",10,11
"NY Post","Franz Wagner",11,8
"NY Post","Josh Giddey",12,6
"NY Post","Moses Moody",13,14
"NY Post","Trey Murphy",14,17
"NY Post","Kai Jones",15,19
"NY Post","Alperen Sengun",16,16
"NY Post","Chris Duarte",17,13
"NY Post","Ziaire Williams",18,10
"NY Post","Sharife Cooper",19,48
"NY Post","Jared Butler",20,40
"NY Post","Usman Garuba",21,23
"NY Post","Cameron Thomas",22,27
"NY Post","Isaiah Jackson",23,22
"NY Post","Jalen Johnson",24,20
"NY Post","Ayo Dosunmu",25,38
"NY Post","Joshua Primo",26,12
"NY Post","Miles McBride",27,36
"NY Post","Bones Hyland",28,26
"NY Post","Tre Mann",29,18
"NY Post","Greg Brown",30,43
"NY Post","",31,NA
"NY Post","",32,NA
"NY Post","",33,NA
"NY Post","",34,NA
"NY Post","",35,NA
"NY Post","",36,NA
"NY Post","",37,NA
"NY Post","",38,NA
"NY Post","",39,NA
"NY Post","",40,NA
"NY Post","",41,NA
"NY Post","",42,NA
"NY Post","",43,NA
"NY Post","",44,NA
"NY Post","",45,NA
"NY Post","",46,NA
"NY Post","",47,NA
"NY Post","",48,NA
"NY Post","",49,NA
"NY Post","",50,NA
"NY Post","",51,NA
"NY Post","",52,NA
"NY Post","",53,NA
"NY Post","",54,NA
"NY Post","",55,NA
"NY Post","",56,NA
"NY Post","",57,NA
"NY Post","",58,NA
"NY Post","",59,NA
"NY Post","",60,NA
"Philadelphia Inquirer","Cade Cunningham",1,1
"Philadelphia Inquirer","Jalen Green",2,2
"Philadelphia Inquirer","Evan Mobley",3,3
"Philadelphia Inquirer","Jalen Suggs",4,5
"Philadelphia Inquirer","Scottie Barnes",5,4
"Philadelphia Inquirer","Jonathan Kuminga",6,7
"Philadelphia Inquirer","James Bouknight",7,11
"Philadelphia Inquirer","Davion Mitchell",8,9
"Philadelphia Inquirer","Alperen Sengun",9,16
"Philadelphia Inquirer","Moses Moody",10,14
"Philadelphia Inquirer","Corey Kispert",11,15
"Philadelphia Inquirer","Jalen Johnson",12,20
"Philadelphia Inquirer","Franz Wagner",13,8
"Philadelphia Inquirer","Josh Giddey",14,6
"Philadelphia Inquirer","Chris Duarte",15,13
"Philadelphia Inquirer","Keon Johnson",16,21
"Philadelphia Inquirer","Ziaire Williams",17,10
"Philadelphia Inquirer","Usman Garuba",18,23
"Philadelphia Inquirer","Jared Butler",19,40
"Philadelphia Inquirer","Sharife Cooper",20,48
"Philadelphia Inquirer","Isaiah Jackson",21,22
"Philadelphia Inquirer","Cameron Thomas",22,27
"Philadelphia Inquirer","Trey Murphy",23,17
"Philadelphia Inquirer","Ayo Dosunmu",24,38
"Philadelphia Inquirer","Miles McBride",25,36
"Philadelphia Inquirer","Jaden Springer",26,28
"Philadelphia Inquirer","Day'Ron Sharpe",27,29
"Philadelphia Inquirer","Quentin Grimes",28,25
"Philadelphia Inquirer","Kai Jones",29,19
"Philadelphia Inquirer","Jeremiah Robinson-Earl",30,32
"Philadelphia Inquirer","",31,NA
"Philadelphia Inquirer","",32,NA
"Philadelphia Inquirer","",33,NA
"Philadelphia Inquirer","",34,NA
"Philadelphia Inquirer","",35,NA
"Philadelphia Inquirer","",36,NA
"Philadelphia Inquirer","",37,NA
"Philadelphia Inquirer","",38,NA
"Philadelphia Inquirer","",39,NA
"Philadelphia Inquirer","",40,NA
"Philadelphia Inquirer","",41,NA
"Philadelphia Inquirer","",42,NA
"Philadelphia Inquirer","",43,NA
"Philadelphia Inquirer","",44,NA
"Philadelphia Inquirer","",45,NA
"Philadelphia Inquirer","",46,NA
"Philadelphia Inquirer","",47,NA
"Philadelphia Inquirer","",48,NA
"Philadelphia Inquirer","",49,NA
"Philadelphia Inquirer","",50,NA
"Philadelphia Inquirer","",51,NA
"Philadelphia Inquirer","",52,NA
"Philadelphia Inquirer","",53,NA
"Philadelphia Inquirer","",54,NA
"Philadelphia Inquirer","",55,NA
"Philadelphia Inquirer","",56,NA
"Philadelphia Inquirer","",57,NA
"Philadelphia Inquirer","",58,NA
"Philadelphia Inquirer","",59,NA
"Philadelphia Inquirer","",60,NA
"SB Nation","Cade Cunningham",1,1
"SB Nation","Jalen Green",2,2
"SB Nation","Evan Mobley",3,3
"SB Nation","Jalen Suggs",4,5
"SB Nation","Scottie Barnes",5,4
"SB Nation","Jonathan Kuminga",6,7
"SB Nation","James Bouknight",7,11
"SB Nation","Franz Wagner",8,8
"SB Nation","Moses Moody",9,14
"SB Nation","Josh Giddey",10,6
"SB Nation","Kai Jones",11,19
"SB Nation","Alperen Sengun",12,16
"SB Nation","Davion Mitchell",13,9
"SB Nation","Corey Kispert",14,15
"SB Nation","Chris Duarte",15,13
"SB Nation","Ziaire Williams",16,10
"SB Nation","Trey Murphy",17,17
"SB Nation","Usman Garuba",18,23
"SB Nation","Keon Johnson",19,21
"SB Nation","Jared Butler",20,40
"SB Nation","Isaiah Jackson",21,22
"SB Nation","Tre Mann",22,18
"SB Nation","Jalen Johnson",23,20
"SB Nation","Cameron Thomas",24,27
"SB Nation","Miles McBride",25,36
"SB Nation","Joshua Primo",26,12
"SB Nation","Ayo Dosunmu",27,38
"SB Nation","Sharife Cooper",28,48
"SB Nation","Bones Hyland",29,26
"SB Nation","Jaden Springer",30,28
"SB Nation","",31,NA
"SB Nation","",32,NA
"SB Nation","",33,NA
"SB Nation","",34,NA
"SB Nation","",35,NA
"SB Nation","",36,NA
"SB Nation","",37,NA
"SB Nation","",38,NA
"SB Nation","",39,NA
"SB Nation","",40,NA
"SB Nation","",41,NA
"SB Nation","",42,NA
"SB Nation","",43,NA
"SB Nation","",44,NA
"SB Nation","",45,NA
"SB Nation","",46,NA
"SB Nation","",47,NA
"SB Nation","",48,NA
"SB Nation","",49,NA
"SB Nation","",50,NA
"SB Nation","",51,NA
"SB Nation","",52,NA
"SB Nation","",53,NA
"SB Nation","",54,NA
"SB Nation","",55,NA
"SB Nation","",56,NA
"SB Nation","",57,NA
"SB Nation","",58,NA
"SB Nation","",59,NA
"SB Nation","",60,NA
"Sporting News","Cade Cunningham",1,1
"Sporting News","Jalen Green",2,2
"Sporting News","Evan Mobley",3,3
"Sporting News","Jonathan Kuminga",4,7
"Sporting News","Jalen Suggs",5,5
"Sporting News","Scottie Barnes",6,4
"Sporting News","Davion Mitchell",7,9
"Sporting News","Keon Johnson",8,21
"Sporting News","Alperen Sengun",9,16
"Sporting News","James Bouknight",10,11
"Sporting News","Kai Jones",11,19
"Sporting News","Corey Kispert",12,15
"Sporting News","Franz Wagner",13,8
"Sporting News","Chris Duarte",14,13
"Sporting News","Moses Moody",15,14
"Sporting News","Josh Giddey",16,6
"Sporting News","Jaden Springer",17,28
"Sporting News","Usman Garuba",18,23
"Sporting News","Tre Mann",19,18
"Sporting News","Jared Butler",20,40
"Sporting News","Isaiah Jackson",21,22
"Sporting News","Jalen Johnson",22,20
"Sporting News","Greg Brown",23,43
"Sporting News","Bones Hyland",24,26
"Sporting News","Ziaire Williams",25,10
"Sporting News","Cameron Thomas",26,27
"Sporting News","Sharife Cooper",27,48
"Sporting News","Joshua Primo",28,12
"Sporting News","Ayo Dosunmu",29,38
"Sporting News","Rokas Jokubaitis",30,34
"Sporting News","",31,NA
"Sporting News","",32,NA
"Sporting News","",33,NA
"Sporting News","",34,NA
"Sporting News","",35,NA
"Sporting News","",36,NA
"Sporting News","",37,NA
"Sporting News","",38,NA
"Sporting News","",39,NA
"Sporting News","",40,NA
"Sporting News","",41,NA
"Sporting News","",42,NA
"Sporting News","",43,NA
"Sporting News","",44,NA
"Sporting News","",45,NA
"Sporting News","",46,NA
"Sporting News","",47,NA
"Sporting News","",48,NA
"Sporting News","",49,NA
"Sporting News","",50,NA
"Sporting News","",51,NA
"Sporting News","",52,NA
"Sporting News","",53,NA
"Sporting News","",54,NA
"Sporting News","",55,NA
"Sporting News","",56,NA
"Sporting News","",57,NA
"Sporting News","",58,NA
"Sporting News","",59,NA
"Sporting News","",60,NA
"Sports Illustrated","Cade Cunningham",1,1
"Sports Illustrated","Jalen Green",2,2
"Sports Illustrated","Evan Mobley",3,3
"Sports Illustrated","Jalen Suggs",4,5
"Sports Illustrated","Scottie Barnes",5,4
"Sports Illustrated","James Bouknight",6,11
"Sports Illustrated","Jonathan Kuminga",7,7
"Sports Illustrated","Franz Wagner",8,8
"Sports Illustrated","Alperen Sengun",9,16
"Sports Illustrated","Josh Giddey",10,6
"Sports Illustrated","Kai Jones",11,19
"Sports Illustrated","Moses Moody",12,14
"Sports Illustrated","Davion Mitchell",13,9
"Sports Illustrated","Chris Duarte",14,13
"Sports Illustrated","Corey Kispert",15,15
"Sports Illustrated","Ziaire Williams",16,10
"Sports Illustrated","Trey Murphy",17,17
"Sports Illustrated","Day'Ron Sharpe",18,29
"Sports Illustrated","Isaiah Jackson",19,22
"Sports Illustrated","Joshua Primo",20,12
"Sports Illustrated","Keon Johnson",21,21
"Sports Illustrated","Usman Garuba",22,23
"Sports Illustrated","BJ Boston",23,51
"Sports Illustrated","Jalen Johnson",24,20
"Sports Illustrated","Bones Hyland",25,26
"Sports Illustrated","Cameron Thomas",26,27
"Sports Illustrated","Miles McBride",27,36
"Sports Illustrated","JT Thor",28,37
"Sports Illustrated","Kessler Edwards",29,44
"Sports Illustrated","Quentin Grimes",30,25
"Sports Illustrated","Ayo Dosunmu",31,38
"Sports Illustrated","Sharife Cooper",32,48
"Sports Illustrated","Jaden Springer",33,28
"Sports Illustrated","Jared Butler",34,40
"Sports Illustrated","Jeremiah Robinson-Earl",35,32
"Sports Illustrated","Joel Ayayi",36,NA
"Sports Illustrated","Tre Mann",37,18
"Sports Illustrated","Jason Preston",38,33
"Sports Illustrated","Isaiah Todd",39,31
"Sports Illustrated","Josh Christopher",40,24
"Sports Illustrated","Rokas Jokubaitis",41,34
"Sports Illustrated","Juhann Begarin",42,45
"Sports Illustrated","Joe Wieskamp",43,41
"Sports Illustrated","Charles Bassey",44,53
"Sports Illustrated","Austin Reaves",45,NA
"Sports Illustrated","Aaron Wiggins",46,55
"Sports Illustrated","Herbert Jones",47,35
"Sports Illustrated","David Johnson",48,47
"Sports Illustrated","AJ Lawson",49,NA
"Sports Illustrated","Aaron Henry",50,NA
"Sports Illustrated","Duane Washington",51,NA
"Sports Illustrated","RaiQuan Gray",52,59
"Sports Illustrated","Jericho Sims",53,58
"Sports Illustrated","Amar Sylla",54,NA
"Sports Illustrated","Santi Aldama",55,30
"Sports Illustrated","Filip Petrusev",56,50
"Sports Illustrated","Greg Brown",57,43
"Sports Illustrated","Neemias Queta",58,39
"Sports Illustrated","Vrenz Blijenbergh",59,NA
"Sports Illustrated","Sam Hauser",60,NA
"Tankathon","Cade Cunningham",1,1
"Tankathon","Jalen Green",2,2
"Tankathon","Evan Mobley",3,3
"Tankathon","Jalen Suggs",4,5
"Tankathon","Scottie Barnes",5,4
"Tankathon","James Bouknight",6,11
"Tankathon","Jonathan Kuminga",7,7
"Tankathon","Franz Wagner",8,8
"Tankathon","Alperen Sengun",9,16
"Tankathon","Josh Giddey",10,6
"Tankathon","Moses Moody",11,14
"Tankathon","Usman Garuba",12,23
"Tankathon","Davion Mitchell",13,9
"Tankathon","Chris Duarte",14,13
"Tankathon","Corey Kispert",15,15
"Tankathon","Ziaire Williams",16,10
"Tankathon","Trey Murphy",17,17
"Tankathon","Kai Jones",18,19
"Tankathon","Keon Johnson",19,21
"Tankathon","Jalen Johnson",20,20
"Tankathon","Isaiah Jackson",21,22
"Tankathon","Jaden Springer",22,28
"Tankathon","Jared Butler",23,40
"Tankathon","Day'Ron Sharpe",24,29
"Tankathon","Cameron Thomas",25,27
"Tankathon","Bones Hyland",26,26
"Tankathon","Quentin Grimes",27,25
"Tankathon","Sharife Cooper",28,48
"Tankathon","Miles McBride",29,36
"Tankathon","Tre Mann",30,18
"Tankathon","Joel Ayayi",31,NA
"Tankathon","Ayo Dosunmu",32,38
"Tankathon","Joshua Primo",33,12
"Tankathon","Rokas Jokubaitis",34,34
"Tankathon","Josh Christopher",35,24
"Tankathon","Juhann Begarin",36,45
"Tankathon","Neemias Queta",37,39
"Tankathon","Jason Preston",38,33
"Tankathon","Joe Wieskamp",39,41
"Tankathon","BJ Boston",40,51
"Tankathon","Aaron Wiggins",41,55
"Tankathon","JT Thor",42,37
"Tankathon","Filip Petrusev",43,50
"Tankathon","Isaiah Todd",44,31
"Tankathon","Kessler Edwards",45,44
"Tankathon","Herbert Jones",46,35
"Tankathon","Vrenz Blijenbergh",47,NA
"Tankathon","Daishen Nix",48,NA
"Tankathon","Aaron Henry",49,NA
"Tankathon","Isaiah Livers",50,42
"Tankathon","Jeremiah Robinson-Earl",51,32
"Tankathon","Luka Garza",52,52
"Tankathon","Greg Brown",53,43
"Tankathon","RaiQuan Gray",54,59
"Tankathon","McKinley Wright",55,NA
"Tankathon","Jay Huff",56,NA
"Tankathon","Matthew Hurt",57,NA
"Tankathon","David Johnson",58,47
"Tankathon","Charles Bassey",59,53
"Tankathon","Austin Reaves",60,NA
"The Athletic","Cade Cunningham",1,1
"The Athletic","Jalen Green",2,2
"The Athletic","Evan Mobley",3,3
"The Athletic","Jalen Suggs",4,5
"The Athletic","Scottie Barnes",5,4
"The Athletic","James Bouknight",6,11
"The Athletic","Franz Wagner",7,8
"The Athletic","Jonathan Kuminga",8,7
"The Athletic","Alperen Sengun",9,16
"The Athletic","Josh Giddey",10,6
"The Athletic","Moses Moody",11,14
"The Athletic","Corey Kispert",12,15
"The Athletic","Davion Mitchell",13,9
"The Athletic","Chris Duarte",14,13
"The Athletic","Trey Murphy",15,17
"The Athletic","Ziaire Williams",16,10
"The Athletic","Jared Butler",17,40
"The Athletic","Kai Jones",18,19
"The Athletic","Usman Garuba",19,23
"The Athletic","Keon Johnson",20,21
"The Athletic","Jaden Springer",21,28
"The Athletic","Sharife Cooper",22,48
"The Athletic","Isaiah Jackson",23,22
"The Athletic","Jalen Johnson",24,20
"The Athletic","Miles McBride",25,36
"The Athletic","Joshua Primo",26,12
"The Athletic","Cameron Thomas",27,27
"The Athletic","Bones Hyland",28,26
"The Athletic","Joel Ayayi",29,NA
"The Athletic","Ayo Dosunmu",30,38
"The Athletic","Herbert Jones",31,35
"The Athletic","Quentin Grimes",32,25
"The Athletic","Tre Mann",33,18
"The Athletic","Day'Ron Sharpe",34,29
"The Athletic","Joe Wieskamp",35,41
"The Athletic","JT Thor",36,37
"The Athletic","Austin Reaves",37,NA
"The Athletic","BJ Boston",38,51
"The Athletic","Rokas Jokubaitis",39,34
"The Athletic","Santi Aldama",40,30
"The Athletic","Isaiah Todd",41,31
"The Athletic","Josh Christopher",42,24
"The Athletic","Filip Petrusev",43,50
"The Athletic","Jeremiah Robinson-Earl",44,32
"The Athletic","Jason Preston",45,33
"The Athletic","Juhann Begarin",46,45
"The Athletic","Isaiah Livers",47,42
"The Athletic","Greg Brown",48,43
"The Athletic","Sandro Mamukelashvili",49,54
"The Athletic","David Johnson",50,47
"The Athletic","Kessler Edwards",51,44
"The Athletic","Vrenz Blijenbergh",52,NA
"The Athletic","Aaron Henry",53,NA
"The Athletic","Charles Bassey",54,53
"The Athletic","Neemias Queta",55,39
"The Athletic","Justin Champagnie",56,NA
"The Athletic","Jericho Sims",57,58
"The Athletic","Luka Garza",58,52
"The Athletic","Moses Wright",59,NA
"The Athletic","Matthew Hurt",60,NA
"The Ringer","Cade Cunningham",1,1
"The Ringer","Jalen Green",2,2
"The Ringer","Evan Mobley",3,3
"The Ringer","Jalen Suggs",4,5
"The Ringer","Scottie Barnes",5,4
"The Ringer","James Bouknight",6,11
"The Ringer","Franz Wagner",7,8
"The Ringer","Jonathan Kuminga",8,7
"The Ringer","Alperen Sengun",9,16
"The Ringer","Josh Giddey",10,6
"The Ringer","Moses Moody",11,14
"The Ringer","Corey Kispert",12,15
"The Ringer","Davion Mitchell",13,9
"The Ringer","Chris Duarte",14,13
"The Ringer","Usman Garuba",15,23
"The Ringer","Jalen Johnson",16,20
"The Ringer","Cameron Thomas",17,27
"The Ringer","Keon Johnson",18,21
"The Ringer","Trey Murphy",19,17
"The Ringer","Day'Ron Sharpe",20,29
"The Ringer","Kai Jones",21,19
"The Ringer","Ziaire Williams",22,10
"The Ringer","Sharife Cooper",23,48
"The Ringer","Isaiah Jackson",24,22
"The Ringer","Jared Butler",25,40
"The Ringer","Isaiah Todd",26,31
"The Ringer","Jaden Springer",27,28
"The Ringer","Joshua Primo",28,12
"The Ringer","Miles McBride",29,36
"The Ringer","Tre Mann",30,18
"The Ringer","Ayo Dosunmu",31,38
"The Ringer","Jason Preston",32,33
"The Ringer","Rokas Jokubaitis",33,34
"The Ringer","Bones Hyland",34,26
"The Ringer","Josh Christopher",35,24
"The Ringer","BJ Boston",36,51
"The Ringer","Charles Bassey",37,53
"The Ringer","Joel Ayayi",38,NA
"The Ringer","Austin Reaves",39,NA
"The Ringer","JT Thor",40,37
"The Ringer","Juhann Begarin",41,45
"The Ringer","Quentin Grimes",42,25
"The Ringer","Aaron Henry",43,NA
"The Ringer","Herbert Jones",44,35
"The Ringer","David Johnson",45,47
"The Ringer","Joe Wieskamp",46,41
"The Ringer","Greg Brown",47,43
"The Ringer","Jeremiah Robinson-Earl",48,32
"The Ringer","Kessler Edwards",49,44
"The Ringer","Sam Hauser",50,NA
"The Ringer","Luka Garza",51,52
"The Ringer","Aaron Wiggins",52,55
"The Ringer","Vrenz Blijenbergh",53,NA
"The Ringer","Isaiah Livers",54,42
"The Ringer","Filip Petrusev",55,50
"The Ringer","McKinley Wright",56,NA
"The Ringer","Sandro Mamukelashvili",57,54
"The Ringer","Daishen Nix",58,NA
"The Ringer","Neemias Queta",59,39
"The Ringer","Santi Aldama",60,30
"The Score","Cade Cunningham",1,1
"The Score","Jalen Green",2,2
"The Score","Evan Mobley",3,3
"The Score","Jalen Suggs",4,5
"The Score","Scottie Barnes",5,4
"The Score","Jonathan Kuminga",6,7
"The Score","James Bouknight",7,11
"The Score","Davion Mitchell",8,9
"The Score","Franz Wagner",9,8
"The Score","Josh Giddey",10,6
"The Score","Alperen Sengun",11,16
"The Score","Jalen Johnson",12,20
"The Score","Corey Kispert",13,15
"The Score","Chris Duarte",14,13
"The Score","Moses Moody",15,14
"The Score","Usman Garuba",16,23
"The Score","Trey Murphy",17,17
"The Score","Keon Johnson",18,21
"The Score","Sharife Cooper",19,48
"The Score","Ziaire Williams",20,10
"The Score","Isaiah Jackson",21,22
"The Score","Jared Butler",22,40
"The Score","Kai Jones",23,19
"The Score","Joshua Primo",24,12
"The Score","Cameron Thomas",25,27
"The Score","Tre Mann",26,18
"The Score","Ayo Dosunmu",27,38
"The Score","Miles McBride",28,36
"The Score","Day'Ron Sharpe",29,29
"The Score","Quentin Grimes",30,25
"The Score","",31,NA
"The Score","",32,NA
"The Score","",33,NA
"The Score","",34,NA
"The Score","",35,NA
"The Score","",36,NA
"The Score","",37,NA
"The Score","",38,NA
"The Score","",39,NA
"The Score","",40,NA
"The Score","",41,NA
"The Score","",42,NA
"The Score","",43,NA
"The Score","",44,NA
"The Score","",45,NA
"The Score","",46,NA
"The Score","",47,NA
"The Score","",48,NA
"The Score","",49,NA
"The Score","",50,NA
"The Score","",51,NA
"The Score","",52,NA
"The Score","",53,NA
"The Score","",54,NA
"The Score","",55,NA
"The Score","",56,NA
"The Score","",57,NA
"The Score","",58,NA
"The Score","",59,NA
"The Score","",60,NA
"USA Today","Cade Cunningham",1,1
"USA Today","Jalen Green",2,2
"USA Today","Evan Mobley",3,3
"USA Today","Scottie Barnes",4,4
"USA Today","Jalen Suggs",5,5
"USA Today","James Bouknight",6,11
"USA Today","Josh Giddey",7,6
"USA Today","Jonathan Kuminga",8,7
"USA Today","Moses Moody",9,14
"USA Today","Franz Wagner",10,8
"USA Today","Usman Garuba",11,23
"USA Today","Alperen Sengun",12,16
"USA Today","Davion Mitchell",13,9
"USA Today","Chris Duarte",14,13
"USA Today","Trey Murphy",15,17
"USA Today","Jalen Johnson",16,20
"USA Today","Corey Kispert",17,15
"USA Today","Keon Johnson",18,21
"USA Today","Isaiah Jackson",19,22
"USA Today","Cameron Thomas",20,27
"USA Today","Miles McBride",21,36
"USA Today","Tre Mann",22,18
"USA Today","Sharife Cooper",23,48
"USA Today","Ziaire Williams",24,10
"USA Today","Kai Jones",25,19
"USA Today","Joshua Primo",26,12
"USA Today","Day'Ron Sharpe",27,29
"USA Today","Bones Hyland",28,26
"USA Today","Jared Butler",29,40
"USA Today","Jaden Springer",30,28
"USA Today","Quentin Grimes",31,25
"USA Today","BJ Boston",32,51
"USA Today","JT Thor",33,37
"USA Today","Ayo Dosunmu",34,38
"USA Today","Joe Wieskamp",35,41
"USA Today","Josh Christopher",36,24
"USA Today","Jason Preston",37,33
"USA Today","Charles Bassey",38,53
"USA Today","Joel Ayayi",39,NA
"USA Today","Neemias Queta",40,39
"USA Today","Isaiah Todd",41,31
"USA Today","Herbert Jones",42,35
"USA Today","Rokas Jokubaitis",43,34
"USA Today","Austin Reaves",44,NA
"USA Today","Kessler Edwards",45,44
"USA Today","Juhann Begarin",46,45
"USA Today","Jeremiah Robinson-Earl",47,32
"USA Today","Vrenz Blijenbergh",48,NA
"USA Today","David Johnson",49,47
"USA Today","Daishen Nix",50,NA
"USA Today","Sandro Mamukelashvili",51,54
"USA Today","Jericho Sims",52,58
"USA Today","Filip Petrusev",53,50
"USA Today","Greg Brown",54,43
"USA Today","Santi Aldama",55,30
"USA Today","Sam Hauser",56,NA
"USA Today","Isaiah Livers",57,42
"USA Today","Aaron Henry",58,NA
"USA Today","Justin Champagnie",59,NA
"USA Today","Luka Garza",60,52
"Stadium","Cade Cunningham",1,1
"Stadium","Jalen Green",2,2
"Stadium","Evan Mobley",3,3
"Stadium","Jalen Suggs",4,5
"Stadium","Scottie Barnes",5,4
"Stadium","James Bouknight",6,11
"Stadium","Davion Mitchell",7,9
"Stadium","Franz Wagner",8,8
"Stadium","Jonathan Kuminga",9,7
"Stadium","Moses Moody",10,14
"Stadium","Kai Jones",11,19
"Stadium","Josh Giddey",12,6
"Stadium","Corey Kispert",13,15
"Stadium","Chris Duarte",14,13
"Stadium","Jalen Johnson",15,20
"Stadium","Alperen Sengun",16,16
"Stadium","Keon Johnson",17,21
"Stadium","Trey Murphy",18,17
"Stadium","Tre Mann",19,18
"Stadium","Isaiah Jackson",20,22
"Stadium","Ziaire Williams",21,10
"Stadium","Cameron Thomas",22,27
"Stadium","Usman Garuba",23,23
"Stadium","Bones Hyland",24,26
"Stadium","Day'Ron Sharpe",25,29
"Stadium","Quentin Grimes",26,25
"Stadium","Jaden Springer",27,28
"Stadium","Jared Butler",28,40
"Stadium","Joshua Primo",29,12
"Stadium","Ayo Dosunmu",30,38
"Stadium","",31,NA
"Stadium","",32,NA
"Stadium","",33,NA
"Stadium","",34,NA
"Stadium","",35,NA
"Stadium","",36,NA
"Stadium","",37,NA
"Stadium","",38,NA
"Stadium","",39,NA
"Stadium","",40,NA
"Stadium","",41,NA
"Stadium","",42,NA
"Stadium","",43,NA
"Stadium","",44,NA
"Stadium","",45,NA
"Stadium","",46,NA
"Stadium","",47,NA
"Stadium","",48,NA
"Stadium","",49,NA
"Stadium","",50,NA
"Stadium","",51,NA
"Stadium","",52,NA
"Stadium","",53,NA
"Stadium","",54,NA
"Stadium","",55,NA
"Stadium","",56,NA
"Stadium","",57,NA
"Stadium","",58,NA
"Stadium","",59,NA
"Stadium","",60,NA
"Yahoo","Cade Cunningham",1,1
"Yahoo","Jalen Green",2,2
"Yahoo","Evan Mobley",3,3
"Yahoo","Jalen Suggs",4,5
"Yahoo","Scottie Barnes",5,4
"Yahoo","James Bouknight",6,11
"Yahoo","Jonathan Kuminga",7,7
"Yahoo","Josh Giddey",8,6
"Yahoo","Alperen Sengun",9,16
"Yahoo","Moses Moody",10,14
"Yahoo","Ziaire Williams",11,10
"Yahoo","Franz Wagner",12,8
"Yahoo","Corey Kispert",13,15
"Yahoo","Chris Duarte",14,13
"Yahoo","Davion Mitchell",15,9
"Yahoo","Kai Jones",16,19
"Yahoo","Trey Murphy",17,17
"Yahoo","Keon Johnson",18,21
"Yahoo","Jalen Johnson",19,20
"Yahoo","Day'Ron Sharpe",20,29
"Yahoo","Usman Garuba",21,23
"Yahoo","Cameron Thomas",22,27
"Yahoo","Isaiah Jackson",23,22
"Yahoo","Jaden Springer",24,28
"Yahoo","Bones Hyland",25,26
"Yahoo","Joshua Primo",26,12
"Yahoo","Tre Mann",27,18
"Yahoo","Miles McBride",28,36
"Yahoo","Quentin Grimes",29,25
"Yahoo","Josh Christopher",30,24
"Yahoo","Ayo Dosunmu",31,38
"Yahoo","Jason Preston",32,33
"Yahoo","JT Thor",33,37
"Yahoo","Sharife Cooper",34,48
"Yahoo","Neemias Queta",35,39
"Yahoo","BJ Boston",36,51
