"player","team","overall_consensus","kevin_pelton","jesse_ficher","jerry_engelmann","nik_oza","nick_kalin","max_savin","model_consensus","john_givony","sam_vecenie","kevin_oconner","john_holllinger","hoop_intelect","jk_mann","scout_consensus","model_count","scout_count"
"Wooga Poplar",NA,89.3333333333333,56,141,NA,NA,NA,NA,98.5,NA,NA,NA,NA,71,NA,71,2,1
"Zach Austin",NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,90,0,1
"Andrew Carr","Kentucky",90.2,110,91,NA,NA,80,75,89,95,NA,NA,NA,NA,NA,95,4,1
"Mohamed Diawara","Cholet",91,98,108,NA,NA,NA,NA,103,81,79,NA,NA,89,NA,83,2,3
"Samson Johnson",NA,92,NA,NA,NA,NA,92,NA,92,NA,NA,NA,NA,NA,NA,NA,1,0
"Nolan Hickman",NA,92.5,53,132,NA,NA,NA,NA,92.5,NA,NA,NA,NA,NA,NA,NA,2,0
"Eli John Ndiaye","Real Madrid",93.25,108,NA,NA,NA,NA,NA,108,92,77,NA,NA,96,NA,88.3333333333333,1,3
"Ben Gregg",NA,94,NA,94,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,1,0
"Coleman Hawkins",NA,95.5,NA,117,NA,NA,NA,NA,117,NA,NA,NA,74,NA,NA,74,1,1
"Jabri Abdur-Rahim",NA,95.5,NA,NA,NA,NA,98,93,95.5,NA,NA,NA,NA,NA,NA,NA,2,0
"Jonas Aidoo",NA,96,NA,NA,NA,NA,96,NA,96,NA,NA,NA,NA,NA,NA,NA,1,0
"Norchad Omier","Baylor",96.3333333333333,99,149,NA,NA,91,63,100.5,91,85,NA,NA,NA,NA,88,4,2
"Lamont Butler","Kentucky",97.8571428571429,95,181,NA,NA,87,NA,121,90,80,NA,58,94,NA,80.5,3,4
"Chase Hunter",NA,98,NA,196,NA,NA,89,64,116.333333333333,NA,64,NA,NA,77,NA,70.5,3,2
"Dawson Garcia","Minnesota",99,136,82,NA,NA,NA,NA,109,79,NA,NA,NA,NA,NA,79,2,1
"Steve Settle III","Temple",100,121,NA,NA,NA,NA,NA,121,99,NA,NA,NA,80,NA,89.5,1,2
"Jahmyl Telfort","Butler",100,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,0,1
"Zeke Mayo",NA,108,NA,130,NA,NA,NA,NA,130,NA,NA,NA,NA,86,NA,86,1,1
"Johnell Davis",NA,110.75,82,177,NA,NA,88,96,110.75,NA,NA,NA,NA,NA,NA,NA,4,0
"Taelon Peter",NA,113,NA,113,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,1,0
"Tyrese Hunter",NA,118,75,161,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,2,0
"Jamiya Neal",NA,120,NA,120,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,1,0
"Matthew Cleveland",NA,157,NA,157,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,NA,NA,1,0
"Daniel Batcho",NA,167,NA,167,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,1,0
"David Joplin",NA,176,NA,176,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,1,0
"Steven Crowl",NA,186,NA,186,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,1,0
"Zach Hicks",NA,192,NA,192,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,1,0
"JT Toppin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Darius Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Geronimo Rubio De La Rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Kadin Shedrick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Khalif Battle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Ousmane Ndiaye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Jaden Akins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Malique Lewis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Ourmar Ballo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Mylik Wilson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Fabio Milanese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
