"coach_name","season","team_abbreviation","wins","losses","w_pct_rank","net_rating","net_rating_rank","off_rating","off_rating_rank","def_rating","def_rating_rank","pace_rank","pace","efg_pct_rank","efg_pct","fta_rate_rank","fta_rate","tm_tov_pct_rank","tm_tov_pct","oreb_pct_rank","oreb_pct","pct_fga_3pt_rank","pct_fga_3pt","opp_efg_pct_rank","opp_efg_pct","opp_fta_rate_rank","opp_fta_rate","opp_tov_pct_rank","opp_tov_pct","opp_oreb_pct_rank","opp_oreb_pct","opp_pct_fga_3pt_rank","opp_pct_fga_3pt"
"Q. Snyder (36-46)","2023-24","ATL","36","46",21,-2,21,116.4,12,118.4,27,6,100.84,17,0.539,12,0.251,13,0.133,5,0.308,9,0.408,30,0.572,16,0.242,11,0.139,16,0.283,21,0.403976196916419
"N. McMillan (29-30)","2022-23","ATL","29","30",16,-0.5,23,113.7,15,114.2,20,9,101.37,20,0.535,28,0.235,2,0.124,19,0.276,30,0.329,14,0.543,11,0.263,14,0.142,22,0.29,12,0.374505742797967
"J. Prunty (2-0)","2022-23","ATL","2","0",1,10.4,9,128.6,3,118.3,22,7,103.5,4,0.631,10,0.291,20,0.146,10,0.286,24,0.331,21,0.551,26,0.331,27,0.101,4,0.207,21,0.422857142857143
"Q. Snyder (10-11)","2022-23","ATL","10","11",20,1,16,119.2,4,118.2,24,5,101.92,17,0.551,12,0.265,9,0.129,2,0.328,29,0.334,27,0.576,6,0.233,15,0.131,12,0.271,6,0.35826359832636
"N. McMillan (43-39)","2021-22","ATL","43","39",16,1.6,14,115.4,2,113.7,26,17,98.67,8,0.543,11,0.253,1,0.12,17,0.269,18,0.39,24,0.543,6,0.224,28,0.129,12,0.269,16,0.395941870030162
"L. Pierce (14-20)","2020-21","ATL","14","20",22,-0.3,15,112.7,11,112.9,23,16,99.67,22,0.524,3,0.294,16,0.141,2,0.3,15,0.394,9,0.53,14,0.249,27,0.126,16,0.268,14,0.38038828562027
"N. McMillan (27-11)","2020-21","ATL","27","11",3,4.5,7,115.9,8,111.3,13,22,97.8,10,0.552,9,0.263,6,0.126,13,0.268,19,0.372,10,0.529,6,0.225,27,0.122,8,0.25,15,0.38591299200947
"L. Pierce (20-47)","2019-20","ATL","20","47",27,-7.4,28,107,25,114.4,28,7,103.28,25,0.515,19,0.258,28,0.155,15,0.267,11,0.398,24,0.543,29,0.303,15,0.143,29,0.292,5,0.360974004606779
"L. Pierce (29-53)","2018-19","ATL","29","53",26,-5.5,26,107.5,23,113.1,28,1,104.56,17,0.522,17,0.255,30,0.162,8,0.284,4,0.403,27,0.541,29,0.313,12,0.143,24,0.282,25,0.380207631117703
"M. Budenholzer (24-58)","2017-18","ATL","24","58",27,-5.7,26,104.4,26,110.1,24,8,98.76,22,0.512,23,0.236,29,0.157,18,0.263,6,0.363,25,0.536,10,0.237,7,0.153,26,0.281,23,0.354439285211763
"M. Budenholzer (43-39)","2016-17","ATL","43","39",11,-0.7,19,104.5,27,105.2,4,11,97.76,19,0.504,5,0.295,28,0.16,13,0.282,15,0.309,8,0.507,4,0.232,2,0.156,19,0.283,27,0.349685534591195
"M. Budenholzer (48-34)","2015-16","ATL","48","34",7,3.9,7,104.6,20,100.8,2,9,97.63,6,0.516,29,0.237,21,0.152,29,0.234,6,0.336,3,0.48,7,0.256,4,0.164,26,0.302,14,0.284499858316804
"M. Budenholzer (60-22)","2014-15","ATL","60","22",2,5.9,4,108.2,6,102.3,5,15,94.66,3,0.527,21,0.259,17,0.15,30,0.264,4,0.321,13,0.492,3,0.242,3,0.169,22,0.303,30,0.309904622157007
"M. Budenholzer (38-44)","2013-14","ATL","38","44",18,-0.7,17,104.9,19,105.7,15,13,95.41,9,0.515,21,0.266,21,0.159,28,0.256,2,0.316,19,0.51,9,0.262,9,0.158,13,0.289,16,0.262019582054654
"L. Drew (44-38)","2012-13","ATL","44","38",14,0.3,14,103.7,17,103.4,10,12,93.56,6,0.517,25,0.244,19,0.157,28,0.254,4,0.286,16,0.496,3,0.237,10,0.161,13,0.299,14,0.23963066099956
"L. Drew (40-26)","2011-12","ATL","40","26",8,3.8,6,104.2,13,100.4,6,23,90.88,8,0.5,21,0.259,10,0.151,26,0.279,10,0.249,10,0.48,6,0.247,6,0.163,9,0.297,8,0.211889675736116
"L. Drew (44-38)","2010-11","ATL","44","38",13,-0.7,16,105.1,21,105.8,14,27,90.22,12,0.501,29,0.269,14,0.151,28,0.274,15,0.222,12,0.495,3,0.273,29,0.138,10,0.29,9,0.207740553770843
"M. Woodson (53-29)","2009-10","ATL","53","29",6,4.9,5,111,2,106,14,27,90.77,11,0.506,24,0.281,1,0.13,3,0.32,18,0.214,16,0.496,8,0.28,15,0.151,28,0.315,7,0.210176657104031
"M. Woodson (47-35)","2008-09","ATL","47","35",12,1.7,13,108.3,10,106.7,16,24,90.44,9,0.504,9,0.323,7,0.141,19,0.295,6,0.253,11,0.494,4,0.272,11,0.151,24,0.318,16,0.226357996671206
"M. Woodson (37-45)","2007-08","ATL","37","45",19,-1.8,19,105.5,16,107.3,18,18,92.35,21,0.483,7,0.34,27,0.16,4,0.329,28,0.165,15,0.501,13,0.289,15,0.147,26,0.318,7,0.209861874350215
"M. Woodson (30-52)","2006-07","ATL","30","52",27,-5.1,29,102,29,107,23,24,90.98,30,0.471,9,0.346,26,0.173,4,0.328,27,0.163,21,0.503,26,0.365,10,0.165,28,0.324,8,0.195106550907656
"M. Woodson (26-56)","2005-06","ATL","26","56",27,-5.3,28,104.8,14,110.1,27,17,91.75,20,0.486,13,0.34,27,0.169,5,0.334,20,0.178,27,0.513,26,0.369,6,0.162,28,0.333,5,0.187315404943261
"M. Woodson (13-69)","2004-05","ATL","13","69",30,-10.2,30,98.8,29,109,29,13,93.09,27,0.464,25,0.299,27,0.171,11,0.326,23,0.146,30,0.513,29,0.375,15,0.157,6,0.304,14,0.192831429018626
"T. Stotts (28-54)","2003-04","ATL","28","54",25,-4.8,26,99.1,24,103.9,24,10,92.68,18,0.465,15,0.303,24,0.176,19,0.308,13,0.191,18,0.476,18,0.307,24,0.15,13,0.314,21,0.199554896142433
"L. Kruger (11-16)","2002-03","ATL","11","16",20,-3.8,23,100.5,17,104.3,24,14,93.01,9,0.478,10,0.316,27,0.192,6,0.328,8,0.194,12,0.462,13,0.301,29,0.142,26,0.337,11,0.165654813529922
"T. Stotts (24-31)","2002-03","ATL","24","31",22,-3.8,23,100.4,24,104.2,19,13,92.44,16,0.474,12,0.311,25,0.171,25,0.286,19,0.169,9,0.472,10,0.287,28,0.138,14,0.309,14,0.187092568448501
"L. Kruger (33-49)","2001-02","ATL","33","49",22,-4.4,24,100.4,24,104.8,22,7,93.21,18,0.471,13,0.294,25,0.166,22,0.297,14,0.181,28,0.495,14,0.293,11,0.161,9,0.311,25,0.199130955948457
"L. Kruger (25-57)","2000-01","ATL","25","57",25,-5.5,25,96.9,27,102.4,17,11,93.63,25,0.456,28,0.272,28,0.178,15,0.313,23,0.14,15,0.472,19,0.326,22,0.157,12,0.309,11,0.163413527008625
"L. Wilkens (28-54)","1999-00","ATL","28","54",25,-5.7,25,100.1,24,105.8,25,21,93.55,25,0.46,20,0.292,19,0.164,5,0.334,27,0.12,18,0.481,1,0.254,29,0.13,6,0.302,2,0.143767705382436
"L. Wilkens (31-19)","1998-99","ATL","31","19",7,3.1,8,98.4,21,95.3,2,28,87.1,26,0.436,5,0.378,14,0.17,5,0.353,12,0.171,3,0.437,4,0.278,24,0.154,1,0.299,13,0.163481404958678
"L. Wilkens (50-32)","1997-98","ATL","50","32",10,4,9,106.5,4,102.5,13,28,89.1,12,0.481,4,0.364,11,0.165,5,0.356,12,0.16,9,0.468,1,0.265,25,0.151,10,0.331,10,0.151859041361804
"L. Wilkens (56-26)","1996-97","ATL","56","26",7,6.2,4,106.4,8,100.3,3,26,88.54,12,0.498,17,0.31,13,0.168,14,0.334,2,0.291,5,0.472,1,0.26,12,0.173,9,0.33,16,0.216899224806202
"J. Mazzulla (64-18)","2023-24","BOS","64","18",1,11.7,1,122.2,1,110.6,2,19,97.98,2,0.578,25,0.224,1,0.121,14,0.287,1,0.471,2,0.523,1,0.189,29,0.122,7,0.274,18,0.400266134397871
"J. Mazzulla (57-25)","2022-23","BOS","57","25",2,6.7,1,117.3,2,110.6,2,20,99.15,4,0.566,27,0.243,7,0.133,27,0.255,2,0.48,3,0.528,3,0.234,26,0.126,1,0.254,10,0.373681363267514
"I. Udoka (51-31)","2021-22","BOS","51","31",6,7.4,2,113.6,9,106.2,1,24,97.26,9,0.542,22,0.239,13,0.139,11,0.277,8,0.425,1,0.502,9,0.234,11,0.14,16,0.275,17,0.3960670267276
"B. Stevens (36-36)","2020-21","BOS","36","36",16,1.2,13,113.1,10,111.8,13,20,98.94,12,0.543,23,0.234,18,0.141,3,0.289,11,0.409,16,0.539,27,0.273,13,0.142,13,0.263,20,0.39945081570021
"B. Stevens (48-24)","2019-20","BOS","48","24",5,6.3,3,112.8,4,106.5,4,17,99.92,17,0.531,18,0.259,8,0.137,5,0.283,14,0.386,4,0.509,24,0.281,8,0.151,16,0.269,24,0.399489470325463
"B. Stevens (49-33)","2018-19","BOS","49","33",9,4.3,6,111.3,10,107,6,16,100.43,7,0.534,30,0.215,3,0.127,24,0.257,9,0.381,9,0.514,18,0.259,8,0.15,15,0.272,26,0.380504015508169
"B. Stevens (55-27)","2017-18","BOS","55","27",4,3.6,7,106.8,18,103.2,2,22,96.75,15,0.518,18,0.243,15,0.144,19,0.263,8,0.357,2,0.495,16,0.251,15,0.145,10,0.261,10,0.325541373870644
"B. Stevens (53-29)","2016-17","BOS","53","29",4,2.6,8,110.6,7,108,14,13,97.21,9,0.525,17,0.273,7,0.136,23,0.259,3,0.393,5,0.503,25,0.29,16,0.143,29,0.295,15,0.314570007107321
"B. Stevens (48-34)","2015-16","BOS","48","34",7,3.3,8,105.8,10,102.5,4,3,99.43,24,0.488,20,0.264,5,0.138,12,0.29,13,0.293,8,0.487,27,0.306,3,0.164,24,0.293,10,0.274200487595009
"B. Stevens (40-42)","2014-15","BOS","40","42",16,0.3,16,103.8,19,103.5,12,5,96.71,22,0.489,28,0.233,6,0.142,15,0.289,13,0.28,15,0.494,15,0.275,11,0.155,16,0.29,9,0.259830044649287
"B. Stevens (25-57)","2013-14","BOS","25","57",26,-4.6,25,101.9,26,106.5,17,16,94.28,28,0.477,25,0.248,28,0.163,7,0.314,17,0.251,16,0.505,19,0.299,18,0.151,16,0.292,5,0.232659176029963
"D. Rivers (41-40)","2012-13","BOS","41","40",16,-0.5,16,102.2,24,102.6,7,17,92.46,12,0.503,16,0.263,11,0.154,29,0.246,24,0.215,6,0.482,25,0.292,9,0.162,23,0.31,15,0.242506401566501
"D. Rivers (39-27)","2011-12","BOS","39","27",10,2.6,11,100.1,24,97.5,2,22,91.11,10,0.496,22,0.257,19,0.162,30,0.245,24,0.194,2,0.452,20,0.285,4,0.171,23,0.314,9,0.212276700874192
"D. Rivers (56-26)","2010-11","BOS","56","26",6,5.7,5,105.5,17,99.8,2,23,90.92,7,0.519,10,0.305,23,0.159,30,0.257,27,0.18,2,0.469,21,0.31,3,0.169,11,0.291,6,0.204677444671166
"D. Rivers (50-32)","2009-10","BOS","50","32",9,3.7,9,106.9,15,103.2,5,24,92.22,5,0.522,7,0.332,27,0.16,27,0.274,11,0.228,9,0.487,25,0.337,2,0.169,18,0.303,11,0.215179968701095
"D. Rivers (62-20)","2008-09","BOS","62","20",3,7.9,2,109.5,5,101.6,3,21,91.15,2,0.528,8,0.328,28,0.169,8,0.314,19,0.214,3,0.47,24,0.329,9,0.158,5,0.285,15,0.226238703645996
"D. Rivers (66-16)","2007-08","BOS","66","16",1,10.8,1,108.8,11,98.1,1,19,91.88,5,0.522,6,0.346,29,0.164,12,0.306,9,0.249,1,0.457,26,0.341,1,0.173,9,0.293,28,0.242075382431793
"D. Rivers (24-58)","2006-07","BOS","24","58",29,-3.5,24,102.3,28,105.8,18,14,92.91,27,0.479,11,0.337,28,0.176,14,0.309,20,0.199,20,0.502,28,0.375,14,0.163,12,0.295,5,0.191257692914628
"D. Rivers (33-49)","2005-06","BOS","33","49",24,-1.5,19,104,18,105.6,20,8,93.27,4,0.504,9,0.349,29,0.176,23,0.289,17,0.204,16,0.49,28,0.38,13,0.157,15,0.306,8,0.195759826679047
"D. Rivers (45-37)","2004-05","BOS","45","37",11,0.8,14,105.9,9,105.1,15,6,94.61,3,0.501,6,0.357,24,0.165,22,0.305,16,0.192,14,0.481,27,0.364,10,0.163,24,0.329,22,0.205582232893157
"J. O'Brien (22-24)","2003-04","BOS","22","24",16,-0.8,16,100.3,14,101.1,17,5,93.98,4,0.487,9,0.313,20,0.173,29,0.273,3,0.255,14,0.469,27,0.327,6,0.179,26,0.342,29,0.231802309965082
"J. Carroll (14-22)","2003-04","BOS","14","22",20,-2.5,21,101.1,20,103.7,19,1,95.1,7,0.485,6,0.343,24,0.171,27,0.286,2,0.242,22,0.491,20,0.323,2,0.184,26,0.341,29,0.231140199793317
"J. O'Brien (44-38)","2002-03","BOS","44","38",13,-0.6,18,100,24,100.5,8,18,91.95,19,0.47,14,0.306,8,0.151,29,0.266,1,0.331,13,0.471,22,0.323,5,0.173,12,0.309,29,0.217054263565891
"J. O'Brien (49-33)","2001-02","BOS","49","33",8,2.2,10,102.1,18,99.9,6,5,93.6,15,0.476,14,0.291,5,0.144,29,0.272,1,0.289,6,0.464,24,0.318,2,0.173,5,0.305,29,0.229670162638699
"R. Pitino (12-22)","2000-01","BOS","12","22",23,-4.7,25,98.2,23,102.8,23,6,94.69,20,0.458,5,0.354,15,0.17,25,0.294,3,0.216,29,0.499,19,0.338,9,0.178,2,0.289,14,0.165030211480363
"J. O'Brien (24-24)","2000-01","BOS","24","24",19,-0.4,19,101.6,17,102,13,12,93.18,12,0.484,7,0.326,21,0.163,28,0.27,1,0.278,23,0.488,26,0.343,1,0.183,24,0.325,25,0.195779914529915
"R. Pitino (35-47)","1999-00","BOS","35","47",19,-1.1,20,102.9,13,103.9,20,7,96.19,19,0.474,11,0.316,10,0.159,9,0.327,12,0.183,25,0.498,29,0.407,4,0.177,2,0.295,9,0.157836294416244
"R. Pitino (19-31)","1998-99","BOS","19","31",22,-2.1,21,98.7,20,100.8,14,3,93.02,14,0.469,29,0.259,16,0.171,12,0.33,9,0.182,13,0.465,28,0.387,6,0.179,23,0.334,2,0.143993839835729
"R. Pitino (36-46)","1997-98","BOS","36","46",20,-2.7,22,100.8,23,103.5,18,1,94.9,21,0.464,26,0.283,18,0.171,7,0.352,7,0.18,26,0.504,29,0.461,1,0.217,24,0.358,12,0.157164353786992
"M. Carr (15-67)","1996-97","BOS","15","67",28,-7.2,27,102.9,20,110.1,27,2,96.78,24,0.474,14,0.316,11,0.167,17,0.329,22,0.191,29,0.539,19,0.337,3,0.18,19,0.342,8,0.201762246117085
"J. Vaughn (21-33)","2023-24","BKN","21","33",23,-2.3,21,114.5,19,116.8,21,23,98.41,21,0.537,26,0.231,7,0.127,9,0.292,8,0.414,14,0.547,13,0.249,25,0.125,18,0.287,18,0.396719950176458
"K. Ollie (11-17)","2023-24","BKN","11","17",23,-4.1,23,108.3,25,112.4,15,24,95.91,27,0.519,8,0.24,22,0.147,13,0.283,11,0.408,14,0.537,13,0.22,16,0.136,16,0.282,10,0.391304347826087
"S. Nash (2-5)","2022-23","BKN","2","5",25,-6.5,28,112.6,16,119.1,29,19,99.59,11,0.543,5,0.31,10,0.138,26,0.252,13,0.382,25,0.556,25,0.297,5,0.156,30,0.359,16,0.395238095238095
"J. Vaughn (43-32)","2022-23","BKN","43","32",9,1.8,10,114.8,13,113,10,23,98.69,6,0.564,22,0.255,15,0.139,28,0.232,11,0.399,3,0.527,18,0.274,17,0.137,28,0.306,2,0.360796740606609
"S. Nash (44-38)","2021-22","BKN","44","38",14,0.9,15,113.2,10,112.3,20,11,99.4,11,0.54,18,0.246,18,0.141,9,0.281,25,0.359,9,0.521,20,0.255,21,0.133,30,0.296,18,0.402163624070318
"S. Nash (48-24)","2020-21","BKN","48","24",4,4.2,7,117.3,1,113.1,22,11,100.27,1,0.575,8,0.258,12,0.134,22,0.252,9,0.413,9,0.531,13,0.241,27,0.125,23,0.274,19,0.396622546782291
"K. Atkinson (28-34)","2019-20","BKN","28","34",15,-0.7,14,107.8,23,108.5,8,10,101.54,23,0.515,11,0.264,23,0.149,6,0.284,5,0.42,4,0.507,9,0.238,28,0.123,10,0.265,9,0.369839350492313
"J. Vaughn (7-3)","2019-20","BKN","7","3",4,0.9,13,114.4,10,113.5,21,10,102.7,10,0.551,20,0.282,16,0.142,19,0.251,8,0.442,17,0.541,10,0.275,23,0.129,14,0.255,16,0.404894327030033
"K. Atkinson (42-40)","2018-19","BKN","42","40",14,-0.1,15,108.9,19,109,15,11,101.52,18,0.52,5,0.284,25,0.146,9,0.282,5,0.403,7,0.512,10,0.247,22,0.131,23,0.28,3,0.327925075847514
"K. Atkinson (28-54)","2017-18","BKN","28","54",23,-3.6,24,106.1,22,109.7,21,6,99.66,18,0.514,11,0.26,22,0.151,24,0.251,2,0.411,11,0.517,22,0.262,30,0.123,14,0.269,1,0.274065994000545
"K. Atkinson (20-62)","2016-17","BKN","20","62",30,-6.5,28,103.6,29,110.1,23,1,101.75,17,0.507,7,0.289,29,0.162,28,0.241,4,0.371,17,0.513,14,0.275,27,0.13,22,0.284,9,0.299637535239629
"L. Hollins (10-27)","2015-16","BKN","10","27",28,-6.6,28,99,29,105.5,20,17,96.24,28,0.474,29,0.227,22,0.156,16,0.279,29,0.199,26,0.516,4,0.244,17,0.153,10,0.271,27,0.31426735218509
"T. Brown (11-34)","2015-16","BKN","11","34",27,-8.1,27,105.1,21,113.2,30,18,96.01,16,0.506,22,0.262,22,0.151,17,0.279,25,0.234,30,0.549,1,0.22,16,0.142,24,0.295,16,0.289772727272727
"L. Hollins (38-44)","2014-15","BKN","38","44",18,-3,21,103.4,20,106.3,23,20,93.69,18,0.491,16,0.267,13,0.146,23,0.278,20,0.24,25,0.506,9,0.253,20,0.146,19,0.299,21,0.28120931578186
"J. Kidd (44-38)","2013-14","BKN","44","38",14,-1.3,19,105.4,15,106.7,19,25,92.42,10,0.514,5,0.313,16,0.155,27,0.26,4,0.301,18,0.509,25,0.311,2,0.169,26,0.314,23,0.276762402088773
"A. Johnson (14-14)","2012-13","BKN","14","14",17,0.1,15,105.4,10,105.3,19,29,88.65,14,0.486,8,0.293,13,0.159,7,0.338,6,0.279,22,0.499,7,0.251,19,0.152,16,0.312,5,0.213387241689128
"P. Carlesimo (35-19)","2012-13","BKN","35","19",6,3,10,107.6,7,104.6,12,25,90.51,14,0.503,6,0.302,27,0.164,2,0.346,8,0.264,20,0.505,3,0.231,26,0.146,9,0.292,3,0.214220601640839
"A. Johnson (22-44)","2011-12","NJN","22","44",25,-6.3,28,101.8,23,108.1,28,21,91.26,24,0.473,17,0.269,24,0.165,11,0.314,3,0.278,29,0.513,19,0.282,17,0.156,27,0.323,11,0.217415942576502
"A. Johnson (24-58)","2010-11","NJN","24","58",25,-6.8,28,102.1,27,108.9,22,24,90.7,27,0.474,23,0.283,19,0.152,15,0.304,20,0.201,19,0.503,24,0.32,30,0.134,15,0.3,12,0.210996667676462
"L. Frank (0-16)","2009-10","NJN","0","16",30,-11.1,29,91.5,30,102.6,9,15,93.66,30,0.423,21,0.286,29,0.175,22,0.285,27,0.155,15,0.493,26,0.342,11,0.162,7,0.29,10,0.21285140562249
"T. Barrise (0-2)","2009-10","NJN","0","2",24,-19.8,30,99.5,30,119.3,27,17,94,25,0.471,12,0.333,21,0.169,22,0.28,22,0.192,29,0.61,15,0.297,5,0.187,17,0.321,27,0.27741935483871
"K. Vandeweghe (12-52)","2009-10","NJN","12","52",30,-8.9,30,101.3,30,110.2,24,22,92.35,30,0.466,10,0.312,18,0.149,22,0.285,24,0.187,25,0.519,17,0.298,18,0.146,28,0.32,2,0.186789909493549
"L. Frank (34-48)","2008-09","NJN","34","48",20,-2.7,22,106.8,18,109.5,24,22,91.12,17,0.497,16,0.303,10,0.143,23,0.288,3,0.265,21,0.509,29,0.357,19,0.147,14,0.297,24,0.240563821456539
