"","Player","Team","NBA2K","CBS","ESPN","Ringer","HoopsHype","ActionNetwork"
"114","Mitchell Robinson","NYK",101,101,82,101,101,96
"115","Brandin Podziemski","GSW",101,101,78,101,101,101
"116","Malik Monk","SAC",101,101,65,90,84,83
"117","Collin Sexton","UTA",101,101,101,97,98,91
"118","PJ Washington","DAL",101,101,101,101,94,101
"119","Tobias Harris","DET",101,101,101,101,90,101
"120","Josh Giddey","CHI",101,101,101,100,72,101
"121","Jonathan Isaac","ORL",101,101,101,101,101,74
"122","Jusuf Nurkić","PHX",101,101,101,101,101,87
"123","TJ McConnell","IND",101,101,101,101,101,89
"124","Jose Alvarado","NOP",101,101,101,101,101,97
"125","Deni Avdija","POR",101,101,101,101,101,100
"126","Dillon Brooks","HOU",101,101,101,96,101,101
"127","Norman Powell","LAC",101,101,101,99,101,101
