"team_id","team_name","gp","w","l","w_pct","min","e_off_rating","off_rating","e_def_rating","def_rating","e_net_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","e_pace","pace","pace_per40","poss","pie","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","off_rating_rank","def_rating_rank","net_rating_rank","ast_pct_rank","ast_to_rank","ast_ratio_rank","oreb_pct_rank","dreb_pct_rank","reb_pct_rank","tm_tov_pct_rank","efg_pct_rank","ts_pct_rank","pace_rank","pie_rank","date"
1610612762,"Utah Jazz",1,0,1,0,48,115,119.2,119.9,120,-4.9,-0.8,0.525,1.24,14.6,0.388,0.704,0.553,0.163,0.529,0.592,106.4,104.5,87.08,104,0.522,1,11,11,11,3,5,17,11,17,15,17,3,10,3,12,12,8,7,10,2024-10-23
1610612737,"Atlanta Hawks",1,1,0,1,48,115.1,114.3,106.4,110.5,8.7,3.8,0.641,1.56,17.4,0.304,0.679,0.51,0.152,0.544,0.599,106.6,105,87.5,105,0.589,1,1,1,1,3,11,14,10,14,18,15,12,20,13,16,10,9,5,4,2024-10-24
1610612738,"Boston Celtics",1,1,0,1,48,117.4,117.3,94.5,99,22.9,18.3,0.5,1.5,15,0.3,0.714,0.519,0.135,0.561,0.599,105.9,103.5,86.25,104,0.564,1,1,1,1,3,7,3,4,26,19,22,14,11,9,10,7,8,11,9,2024-10-24
1610612751,"Brooklyn Nets",1,0,1,0,48,106.4,110.5,115.1,114.3,-8.7,-3.8,0.525,1.11,14.7,0.321,0.696,0.49,0.181,0.533,0.569,106.6,105,87.5,105,0.411,1,15,15,15,3,15,18,19,24,28,24,9,17,16,23,13,15,5,25,2024-10-24
1610612766,"Charlotte Hornets",1,1,0,1,48,112.8,114.6,101.2,109.4,11.6,5.2,0.526,1.18,14.7,0.4,0.627,0.53,0.177,0.535,0.576,100.7,96,80,96,0.573,1,1,1,1,3,10,12,9,23,25,23,1,22,7,22,12,13,27,7,2024-10-24
1610612741,"Chicago Bulls",1,0,1,0,48,101.8,102.8,110.6,113.9,-8.7,-11.1,0.619,1.24,17.9,0.22,0.769,0.5,0.194,0.547,0.572,110.1,108,90,108,0.428,1,15,15,15,3,22,17,21,16,22,14,23,7,14,26,9,14,3,21,2024-10-24
1610612739,"Cleveland Cavaliers",1,1,0,1,48,131.5,134.7,102.2,102.9,29.3,31.7,0.569,2.23,20.6,0.282,0.615,0.473,0.129,0.667,0.691,103.6,102,85,101,0.648,1,1,1,1,3,1,8,2,20,5,3,19,23,21,9,1,1,15,2,2024-10-24
1610612742,"Dallas Mavericks",1,1,0,1,48,114.2,115.4,105.3,103.8,8.9,11.6,0.643,2.7,18.1,0.302,0.714,0.482,0.096,0.505,0.535,104.3,104.5,87.08,104,0.496,1,1,1,1,3,9,9,7,12,1,12,13,11,19,3,18,21,7,15,2024-10-24
1610612743,"Denver Nuggets",1,0,1,0,48,84.3,87.9,96.9,104.1,-12.5,-16.2,0.829,1.81,19,0.391,0.683,0.532,0.162,0.393,0.418,104.2,98.5,82.08,99,0.472,1,15,15,15,3,28,10,24,1,13,7,2,18,5,17,28,28,23,18,2024-10-24
1610612765,"Detroit Pistons",1,0,1,0,48,106.5,110.1,112.7,113.9,-6.2,-3.8,0.579,1.57,15.9,0.321,0.744,0.51,0.141,0.483,0.543,102.2,100,83.33,99,0.414,1,15,15,15,3,16,16,18,19,17,21,10,8,12,12,21,18,21,24,2024-10-24
1610612744,"Golden State Warriors",1,1,0,1,48,128.2,128.4,94.4,96.3,33.8,32.1,0.792,2.11,22.9,0.388,0.729,0.574,0.165,0.624,0.659,109.7,108.5,90.42,109,0.676,1,1,1,1,3,2,2,1,2,9,1,4,9,2,19,3,3,1,1,2024-10-24
