"player","name","value","Average"
"Franz Wagner","Chad Ford",9,10.0714285714286
"Franz Wagner","Dean On Draft",5,10.0714285714286
"Franz Wagner","ESPN",10,10.0714285714286
"Franz Wagner","John Hollinger",7,10.0714285714286
"Franz Wagner","nbadraft.net",13,10.0714285714286
"Franz Wagner","Kevin O'Connor",12,10.0714285714286
"Franz Wagner","SB Nation",5,10.0714285714286
"Franz Wagner","Sports Illustrated",10,10.0714285714286
"Franz Wagner","Sporting News",17,10.0714285714286
"Franz Wagner","Tankathon",11,10.0714285714286
"Franz Wagner","USA Today",11,10.0714285714286
"Franz Wagner","Sam Vecenie",14,10.0714285714286
"James Bouknight","Average",10,10.2307692307692
"James Bouknight","Bleacher Report",17,10.2307692307692
"James Bouknight","CBS",6,10.2307692307692
"James Bouknight","Chad Ford",7,10.2307692307692
"James Bouknight","Dean On Draft",NA,10.2307692307692
"James Bouknight","ESPN",8,10.2307692307692
"James Bouknight","John Hollinger",13,10.2307692307692
"James Bouknight","nbadraft.net",7,10.2307692307692
"James Bouknight","Kevin O'Connor",6,10.2307692307692
"James Bouknight","SB Nation",16,10.2307692307692
"James Bouknight","Sports Illustrated",7,10.2307692307692
"James Bouknight","Sporting News",9,10.2307692307692
"James Bouknight","Tankathon",16,10.2307692307692
"James Bouknight","USA Today",12,10.2307692307692
"James Bouknight","Sam Vecenie",9,10.2307692307692
"Alperen Sengun","Average",12,11.7142857142857
"Alperen Sengun","Bleacher Report",14,11.7142857142857
"Alperen Sengun","CBS",16,11.7142857142857
"Alperen Sengun","Chad Ford",10,11.7142857142857
"Alperen Sengun","Dean On Draft",7,11.7142857142857
"Alperen Sengun","ESPN",15,11.7142857142857
"Alperen Sengun","John Hollinger",4,11.7142857142857
"Alperen Sengun","nbadraft.net",20,11.7142857142857
"Alperen Sengun","Kevin O'Connor",9,11.7142857142857
"Alperen Sengun","SB Nation",13,11.7142857142857
"Alperen Sengun","Sports Illustrated",11,11.7142857142857
"Alperen Sengun","Sporting News",10,11.7142857142857
"Alperen Sengun","Tankathon",5,11.7142857142857
"Alperen Sengun","USA Today",22,11.7142857142857
"Alperen Sengun","Sam Vecenie",8,11.7142857142857
"Moses Moody","Average",12,12
"Moses Moody","Bleacher Report",16,12
"Moses Moody","CBS",10,12
"Moses Moody","Chad Ford",13,12
"Moses Moody","Dean On Draft",12,12
"Moses Moody","ESPN",16,12
"Moses Moody","John Hollinger",14,12
"Moses Moody","nbadraft.net",8,12
"Moses Moody","Kevin O'Connor",14,12
"Moses Moody","SB Nation",6,12
"Moses Moody","Sports Illustrated",17,12
"Moses Moody","Sporting News",13,12
"Moses Moody","Tankathon",12,12
"Moses Moody","USA Today",10,12
"Moses Moody","Sam Vecenie",7,12
"Davion Mitchell","Average",13,12.8461538461538
"Davion Mitchell","Bleacher Report",21,12.8461538461538
"Davion Mitchell","CBS",8,12.8461538461538
"Davion Mitchell","Chad Ford",8,12.8461538461538
"Davion Mitchell","Dean On Draft",NA,12.8461538461538
"Davion Mitchell","ESPN",7,12.8461538461538
"Davion Mitchell","John Hollinger",16,12.8461538461538
"Davion Mitchell","nbadraft.net",11,12.8461538461538
"Davion Mitchell","Kevin O'Connor",8,12.8461538461538
"Davion Mitchell","SB Nation",21,12.8461538461538
"Davion Mitchell","Sports Illustrated",16,12.8461538461538
"Davion Mitchell","Sporting News",5,12.8461538461538
"Davion Mitchell","Tankathon",17,12.8461538461538
"Davion Mitchell","USA Today",19,12.8461538461538
"Davion Mitchell","Sam Vecenie",10,12.8461538461538
"Keon Johnson","Average",15,14.7142857142857
"Keon Johnson","Bleacher Report",18,14.7142857142857
"Keon Johnson","CBS",15,14.7142857142857
"Keon Johnson","Chad Ford",14,14.7142857142857
"Keon Johnson","Dean On Draft",14,14.7142857142857
"Keon Johnson","ESPN",9,14.7142857142857
"Keon Johnson","John Hollinger",18,14.7142857142857
"Keon Johnson","nbadraft.net",9,14.7142857142857
"Keon Johnson","Kevin O'Connor",19,14.7142857142857
"Keon Johnson","SB Nation",17,14.7142857142857
"Keon Johnson","Sports Illustrated",9,14.7142857142857
"Keon Johnson","Sporting News",8,14.7142857142857
"Keon Johnson","Tankathon",14,14.7142857142857
"Keon Johnson","USA Today",21,14.7142857142857
"Keon Johnson","Sam Vecenie",21,14.7142857142857
"Corey Kispert","Average",15,15.1538461538462
"Corey Kispert","Bleacher Report",19,15.1538461538462
"Corey Kispert","CBS",14,15.1538461538462
"Corey Kispert","Chad Ford",16,15.1538461538462
"Corey Kispert","Dean On Draft",NA,15.1538461538462
"Corey Kispert","ESPN",13,15.1538461538462
"Corey Kispert","John Hollinger",12,15.1538461538462
"Corey Kispert","nbadraft.net",15,15.1538461538462
"Corey Kispert","Kevin O'Connor",16,15.1538461538462
"Corey Kispert","SB Nation",19,15.1538461538462
"Corey Kispert","Sports Illustrated",13,15.1538461538462
"Corey Kispert","Sporting News",14,15.1538461538462
"Corey Kispert","Tankathon",10,15.1538461538462
"Corey Kispert","USA Today",18,15.1538461538462
"Corey Kispert","Sam Vecenie",18,15.1538461538462
"Jalen Johnson","Average",17,16.7857142857143
"Jalen Johnson","Bleacher Report",7,16.7857142857143
"Jalen Johnson","CBS",24,16.7857142857143
"Jalen Johnson","Chad Ford",18,16.7857142857143
"Jalen Johnson","Dean On Draft",9,16.7857142857143
"Jalen Johnson","ESPN",12,16.7857142857143
